score,category,keyword,volume,kd,cpc,variants
69.0,prayers,the mercy chaplet,6600,11,0.57,1
69.0,prayers,family morning prayer,5400,5,0.48,4
68.9,bible-verses,what does scripture say about forgiveness,8100,22,3.35,1
68.9,how-to-block,how to quit coughing,8100,21,0.37,1
68.8,other,megachurch pastors,5400,4,0.0,1
68.8,other,mega churches pastors,5400,4,0.0,1
68.6,bible-verses,what does the bible say about masterbation,14800,32,1.08,1
68.4,prayers,morning prayer youtube,3600,4,5.2,3
68.3,audiences,youth ministry game,5400,8,1.49,4
68.3,prayers,istikhara how to pray,4400,6,3.27,1
68.3,how-to-other,how to improve credit limit,3600,15,11.44,1
68.3,how-to-other,how to credit limit increase,3600,15,11.44,11
68.3,how-to-other,how to up your credit limit,3600,15,11.44,1
68.2,how-to-block,how to quit breastfeeding,9900,26,0.21,1
68.1,platform,screen time iphone,8100,22,3.02,6
68.0,prayers,morning tuesday prayer,5400,5,0.11,4
68.0,bible-verses,what does the bible say about women preachers,4400,5,2.71,1
67.9,bible-verses,what does the bible say about israelites,4400,1,0.97,1
67.9,how-to-other,how to pray istikhara namaz,3600,6,6.0,1
67.8,platform,chrome pop-up blocker,12100,31,2.79,6
67.8,platform,pop blocker chrome,12100,31,2.79,2
67.8,platform,popup blocker in chrome,12100,31,2.79,1
67.8,how-to-block,how to quit drinking liquor,8100,33,7.19,1
67.7,how-to-block,how to reduce the hypertension,18100,41,1.55,1
67.7,prayers,morning offering prayer,6600,11,0.09,2
67.7,bible-verses,what does the bible say about gossipers,4400,3,1.72,1
67.7,bible-verses,what does the bible say about gossiping,4400,3,1.72,1
67.6,bible-verses,verses on how to pray,5400,8,1.22,1
67.5,platform,ad blocker extensions chrome,14800,34,1.88,6
67.5,platform,chrome disable popup blocker,8100,18,0.74,2
67.4,blocker-tools,how to block websites in android phone,1900,3,3.85,1
67.3,how-to-block,how to reduce sciatic pain,22200,44,0.91,1
67.3,catholic,what bible translation does catholic church use,6600,16,1.03,2
67.3,bible-verses,what does the bible say about worrying,3600,3,4.27,1
67.3,bible-verses,bible passages about stewardship,3600,8,6.74,1
67.2,prayers,prayer novena,5400,18,6.16,5
67.2,prayers,praying novena,5400,18,6.16,2
67.1,catholic,lent fasting rules,5400,15,3.07,5
66.9,how-to-other,how to break pdf page,6600,16,2.12,2
66.7,how-to-block,how to reduce anxiety instantly,9900,32,3.1,1
66.7,how-to-block,how to reduce anxiety fast,9900,32,3.1,1
66.7,how-to-block,how to reduce anxiety immediately,9900,32,3.1,1
66.5,how-to-block,how to reduce bloating,18100,41,1.1,2
66.5,how-to-block,how to reduce bloat,18100,41,1.1,1
66.3,addiction,nomophobia,12100,35,0.0,2
66.3,bible-verses,bible passages about truth,4400,2,0.78,1
66.2,how-to-block,how to quit procrastinating,9900,30,1.69,1
66.2,how-to-block,how to quit procrastination,9900,30,1.69,1
66.2,prayers,powerful night time prayer,8100,19,0.75,1
66.2,prayers,powerful nighttime prayer,8100,19,0.75,1
66.2,platform,chrome avoid pop up blocker,8100,19,0.74,1
66.1,prayers,our father who art in heaven prayer catholic,9900,23,0.22,3
66.1,other,what does god say about forgiveness in the bible,8100,24,3.35,1
66.1,how-to-block,how to turn off focus on iphone,4400,6,0.0,1
65.8,audiences,christian marriage counselor,9900,39,11.01,10
65.8,catholic,fast for lent rules,5400,16,3.07,1
65.8,other,web camera filter,2900,12,14.21,1
65.7,bible-verses,what does the bible say about judging other people,4400,7,2.71,1
65.7,bible-verses,what does the bible say about judgement of others,4400,7,2.71,1
65.7,bible-verses,what does the bible say about women preaching,4400,7,2.71,1
65.7,bible-verses,what does the bible say about judging other,4400,7,2.71,2
65.7,verse-display,free christmas screen wallpaper,3600,3,0.0,1
65.7,prayers,prayer compass app,3600,9,6.56,1
65.3,other,pastors meaning,4400,1,0.0,1
65.2,devotionals,devotional on proverbs 31,5400,9,0.75,1
65.2,other,how long does a clavicle break take to heal,4400,2,0.38,1
65.1,prayers,saint therese of lisieux novena,4400,5,1.56,1
65.0,how-to-block,how to reduce hypertension instantly,9900,31,1.81,1
65.0,bible-study,bible reading plan chronological,8100,23,2.34,6
64.9,how-to-block,how to quit thinking about something,2900,1,2.71,1
64.8,verse-display,air one verse of the day,2900,12,6.83,2
64.8,bible-verses,bible passages about advent,2400,2,8.78,1
64.8,competitors,screenzen,2400,7,2.43,3
64.7,blocker-tools,brick app blocker,2900,12,1.28,2
64.6,bible-verses,bible passages about nature,4400,2,0.14,1
64.5,how-to-other,how to check screen time on iphone,5400,13,2.34,5
64.4,prayers,st andrew christmas novena,5400,8,0.03,5
64.4,other,what does it say in the bible about baptism,2900,6,7.68,1
64.4,competitors,hallow app controversy,1900,6,5.0,1
64.3,other,quotes about bible love,6600,16,1.09,5
64.3,bible-verses,bible passages about revenge,4400,2,0.02,1
64.3,how-to-other,how to pray tahajjud prayer,4400,2,0.03,1
64.1,prayers,verse how to pray,5400,11,1.22,1
64.1,other,cold cut turkey,4400,3,0.34,1
64.0,bible-verses,what does the bible say about sex outside of marriage,3600,2,2.45,1
64.0,how-to-block,how to quit being lazy,2900,2,2.77,1
63.9,verse-display,inspiring bible verse of the day,9900,45,10.89,2
63.9,verse-display,motivational bible verse of the day,9900,45,10.89,1
63.7,prayers,prayer of the divine chaplet,14800,34,0.44,1
63.7,other,what does god say about love in the bible,8100,23,1.82,1
63.6,prayers,divine mercy chaplet pdf,4400,4,0.56,2
63.5,catholic,lent restrictions,8100,22,0.0,1
63.5,bible-verses,what does the bible say about gossip,4400,3,0.12,2
63.2,other,wedding pastors,6600,22,3.78,1
63.0,prayers,short prayer of the day,6600,30,8.95,2
62.9,prayers,novena st therese of lisieux,4400,7,1.56,2
62.8,bible-verses,what does the bible say about anger,3600,2,1.96,1
62.8,bible-verses,what does the bible say about wrath,3600,2,1.96,1
62.7,bible-verses,bible passages about evangelization,2900,6,6.87,1
62.2,prayers,divine mercy chaplet pray,14800,35,0.44,5
62.2,catholic,lent fast,8100,23,0.0,3
62.2,how-to-other,how to pray divine mercy rosary,5400,11,0.47,2
62.2,how-to-other,how to pray the divine mercy chaplet prayer,5400,11,0.47,1
62.2,how-to-other,how to prayer the divine mercy chaplet,5400,11,0.47,1
62.2,bible-verses,bible verses to memorize,3600,5,2.99,5
62.2,how-to-other,how to pray salat al-istikhara,3600,11,6.0,2
62.1,bible-verses,what does the bible say about scripture,4400,4,0.0,1
62.1,how-to-other,how to determine a limit,4400,4,0.0,1
62.0,bible-verses,what does the bible say about mortality,3600,5,2.94,1
62.0,bible-verses,what does the bible say about death,3600,5,2.94,1
61.9,prayers,prayer to francis of assisi,6600,16,0.16,1
61.9,bible-verses,what does the bible say about sex before marriage,3600,4,2.45,1
61.8,bible-verses,what does the bible say about swearing on the bible,3600,1,1.12,1
61.7,devotionals,book daily devotional,6600,18,1.02,3
61.7,parental,ipad parental control,6600,34,3.26,11
61.6,other,hypertension how to reduce,18100,41,1.55,1
61.6,platform,chrome browser pop up blocker,12100,35,2.79,2
61.4,how-to-block,how to reduce period cramp,12100,37,1.52,3
61.3,blocker-tools,restaurant pomodoro,3600,22,2.05,3
61.2,other,can females be pastors,4400,10,2.19,2
61.1,audiences,church pastors,2900,16,27.65,3
61.0,prayers,novena sacred heart of jesus,6600,18,0.77,8
60.8,prayers,pray novena,5400,23,6.16,5
60.7,how-to-block,how to reduce bodily inflammation,12100,37,1.23,1
60.7,prayers,catholic st michael prayer,6600,17,0.16,4
60.7,competitors,wood forest bank app,2400,12,3.04,1
60.6,blocker-tools,how to block websites in chrome mobile,1600,2,2.84,2
60.5,prayers,islamic prayer app,12100,33,1.04,2
60.5,prayers,powerful of prayer,3600,10,4.63,5
60.4,bible-verses,what does the bible say about fasting,5400,24,6.58,1
60.3,catholic,lent catholic religion,6600,23,1.76,2
60.3,prayers,powerful good morning prayer,4400,6,0.09,2
60.2,bible-verses,what does the bible say about a woman preaching,4400,12,2.71,1
60.1,how-to-other,how to start pray,4400,27,20.49,2
60.1,audiences,can women.be pastors,4400,11,2.19,3
59.8,platform,chrome pop up blocker turn off,8100,24,0.74,8
59.7,other,free computer screen backgrounds,9900,34,4.0,2
59.7,other,focus how to,8100,27,2.33,6
59.6,how-to-block,how to quit biting your fingernails,6600,23,0.3,1
59.6,how-to-block,how to quit nail biting,6600,23,0.3,2
59.6,how-to-block,how to quit nail biting habit,6600,23,0.3,1
59.6,bible-verses,what does the bible say about witches,3600,1,0.21,1
59.4,bible-verses,scripture about grace,6600,19,0.6,1
59.1,bible-verses,powerful verses on prayer,3600,5,1.68,1
59.0,platform,free android screen saver,5400,15,1.01,1
59.0,how-to-block,how to quit yawning,5400,22,2.07,1
59.0,other,christian pastors,5400,24,5.89,1
58.9,devotionals,daily devotional david jeremiah,8100,24,0.35,2
58.8,devotionals,in touch daily devotional for today,2900,18,12.93,1
58.7,how-to-other,how to break up with someone who you love,3600,2,0.24,2
58.7,prayers,prayer when depressed,2900,6,4.87,1
58.6,how-to-block,how to quit in smoking,9900,38,3.63,4
58.6,prayers,prayer hail mary catholic,8100,24,0.23,5
58.6,prayers,roman catholic hail mary prayer,8100,24,0.23,2
58.5,bible-study,bible study guide for beginners,3600,4,0.96,2
58.5,other,study guide for the bible for beginners,3600,4,0.96,1
58.5,competitors,hallow app cost,1600,3,3.28,2
58.2,bible-study,bible study topics,3600,9,3.08,8
58.2,other,study bible topics,3600,9,3.08,8
58.2,other,study the bible by topics,3600,9,3.08,1
58.2,bible-study,biblical bible study topics,3600,9,3.08,1
58.2,bible-study,bible study by topics,3600,9,3.08,1
58.2,bible-study,topics about bible study,3600,9,3.08,1
58.1,how-to-other,how to pray tahajjud,4400,8,0.03,2
58.1,other,christmas screen backgrounds free,3600,2,0.0,1
58.0,how-to-block,how to reduce anxiety,9900,37,2.63,2
58.0,how-to-other,how to solve limit,4400,8,0.0,1
57.9,bible-study,bible study book for women,3600,4,0.71,2
57.9,addiction,how to quit addiction,3600,28,8.67,3
57.8,how-to-other,how to prayer god,6600,29,5.52,1
57.8,how-to-block,how to quit stuttering,2900,11,4.23,1
57.7,prayers,a prayer before dawn,8100,25,0.39,1
57.7,prayers,powerful night prayer for family,5400,15,0.46,1
57.6,bible-verses,what does the bible say about worry,3600,12,4.27,1
57.6,blocker-tools,opal screen time app,1600,11,5.73,2
57.3,catholic,bulldog catholic examination of conscience,1600,1,9.25,2
57.3,competitors,quitting alcohol cold turkey,1600,4,3.2,1
57.3,competitors,stopping alcohol cold turkey,1600,4,3.2,1
57.0,blocker-tools,how to bypass site blocker,1900,16,5.63,3
56.9,other,what does it say in the bible about swearing,3600,6,1.12,1
56.9,competitors,cold turkey 1971,2400,9,0.0,1
56.9,competitors,cold turkey film,2400,9,0.0,1
56.8,audiences,christian dior sauvage men,5400,18,1.5,2
56.8,devotionals,joyce meyer's daily devotional,3600,25,12.42,1
56.8,bible-verses,what does the bible say about how to pray,2900,5,3.49,1
56.7,prayers,st andrew xmas novena,5400,15,0.03,1
56.7,prayers,st andrew's christmas novena,5400,15,0.03,1
56.7,bible-study,bible study for catholic,4400,13,1.65,3
56.7,devotionals,devotional for men,4400,12,1.19,1
56.7,addiction,how to break addiction,3600,29,8.67,3
56.4,bible-study,bible year reading plan,12100,38,2.43,14
56.4,how-to-other,how to break a habit of biting nails,6600,21,0.3,2
56.2,how-to-block,how to reduce ldl cholesterol naturally,14800,43,0.77,1
56.2,how-to-other,how to break a combo lock,3600,4,0.0,1
56.1,audiences,curriculum preschool homeschool,6600,27,3.42,1
56.0,how-to-other,how to find limit calculus,4400,10,0.0,5
55.9,other,meditation as a christian,3600,11,2.93,1
55.8,other,what does bible say about the rapture,3600,8,1.49,1
55.8,bible-verses,what does the bible say about rapture,3600,8,1.49,2
55.7,bible-study,bible study on gospel of john,2900,2,1.63,2
55.7,other,partner accountability,1900,4,8.76,1
55.4,devotionals,intouch devotional for today,2900,21,12.93,1
55.4,competitors,alcoholics quitting cold turkey,1600,6,3.2,1
55.3,bible-verses,what does the bible say about dinosaurs,3600,5,0.03,2
55.3,other,what does the christian bible say about halloween,3600,5,0.0,1
55.3,other,what does it say about dinosaurs in the bible,3600,5,0.03,1
55.3,other,wish i knew how to quit you,3600,5,0.0,2
55.2,how-to-other,how to force quit an application,4400,11,0.08,1
55.1,catholic,when did lent begin,5400,19,0.0,1
55.1,audiences,women as pastors,2900,7,3.59,1
55.0,prayers,chaplet of mercy youtube,4400,11,0.0,1
54.9,parental,aura parental control app for iphone,1000,6,11.41,1
54.8,blocker-tools,how to bypass website blocker,1900,18,5.63,3
54.7,audiences,youth group ministry,2900,20,10.86,1
54.4,how-to-block,how to quit farting,5400,24,1.05,1
54.4,other,what does it say in the bible about worrying,3600,12,2.69,1
54.3,how-to-other,how to write a quit letter,5400,18,0.35,1
54.3,blocker-tools,digital wellbeing application,3600,27,1.69,1
54.3,devotionals,intouch daily devotional for today,2900,22,12.93,1
54.2,christian-apps,gateway bible app,5400,30,1.08,2
54.2,other,how much do pastors make,2900,4,1.79,2
54.2,other,how much do pastors earn,2900,4,1.79,1
54.1,audiences,homeschool coops near me,8100,37,6.22,1
54.1,how-to-other,how to break nail biting,6600,23,0.3,1
54.1,platform,disabling pop up blocker chrome,3600,8,0.72,1
54.0,bible-verses,what does the bible say about cursing and swearing,3600,9,1.12,1
54.0,how-to-other,how to break up with someone u love,3600,7,0.24,1
54.0,bible-study,notes for bible study,2900,2,0.85,1
54.0,prayers,powerful prayer to keep evil away,1900,2,6.73,1
53.8,catholic,catholic bible book,6600,26,0.52,17
53.7,addiction,screen free fitness tracker,5400,28,0.7,1
53.7,verse-display,kjv inspirational verse of the day,1900,19,16.13,1
53.6,platform,pop up blocker chrome remove,8100,29,0.74,1
53.5,how-to-other,how to pray divine chaplet,5400,19,0.47,2
53.5,how-to-block,how to quit worrying,2900,12,2.58,1
53.5,competitors,forest trade app,2400,32,19.99,1
53.4,how-to-other,how to break up pdf pages,6600,27,2.12,1
53.3,how-to-block,how to quit hiccups,4400,18,0.08,1
53.3,prayers,prayer is powerful verse,3600,11,1.68,1
53.3,audiences,christian ministry for women,1900,12,29.34,1
53.3,christian-apps,christian meditation for sleeping,1900,7,2.38,1
53.2,devotionals,rick warren daily devotional,6600,24,0.37,1
53.2,audiences,should women be pastors,2400,6,4.78,1
53.1,bible-study,book for women's bible study,3600,9,0.71,2
53.0,prayers,acts how to pray,2900,3,0.79,1
53.0,how-to-other,how to spell break,2900,1,0.0,1
53.0,how-to-other,how to find the focus point of a parabola,2900,1,0.0,1
52.9,catholic,when did lent start,5400,21,0.0,1
52.9,bible-verses,bible passages about guidance,2900,5,1.61,1
52.8,prayers,short prayer before bedtime,3600,8,0.15,1
52.8,prayers,short prayer before sleep,3600,8,0.15,1
52.8,prayers,christian prayer before sleep,3600,10,1.02,1
52.8,how-to-block,how to quit from vim editor,3600,13,0.0,1
52.7,how-to-block,how to quit overeating,4400,29,5.96,1
52.6,how-to-block,how to quit eating,3600,25,6.32,1
52.5,bible-verses,scripture about tithes and offering,6600,26,1.1,1
52.5,how-to-other,how to take a break on facebook,3600,8,0.0,1
52.5,other,pastors appreciation,2900,3,0.55,3
52.3,how-to-other,how to immediately reduce anxiety,9900,38,3.1,1
52.3,bible-verses,verses for in memory,2900,5,1.31,1
52.2,other,female pastors biblical,2900,4,0.85,1
52.2,prayers,powerful gratitude prayer,1600,3,8.89,1
52.1,how-to-other,how to calculate confidence limit,4400,25,5.85,1
52.1,adult-blocking,canopy porn blocker,1600,15,3.05,1
52.1,audiences,pre marriage counselling christian,1600,1,7.76,1
